sample_id,split,scenario_type,difficulty_bucket,subtype,category_bucket,parent_asin
tcsv1_dev_0001,dev,intent_override,hard,official_style,necklaces_y_necklaces,B085M9Y54C
tcsv1_dev_0002,dev,buying,easy,official_style,bras_adhesive_bras,B0CJDN7199
tcsv1_dev_0003,dev,boundary,medium,official_style,lingerie_bustiers_corsets,B0188EFUM2
tcsv1_dev_0004,dev,buying,easy,official_style,accessories_bow_ties,B01CJZ9GIK
tcsv1_dev_0005,dev,buying,easy,official_style,men_leg_warmers,B08MCV8X1P
tcsv1_dev_0006,dev,browsing,medium,official_style,shoes_flats,B08SHFN3RN
tcsv1_dev_0007,dev,buying,easy,official_style,swim_board_shorts,B08QZJB5WT
tcsv1_dev_0008,dev,buying,easy,official_style,panties_g_strings_thongs,B005GCZ9KS
tcsv1_dev_0009,dev,browsing,medium,official_style,bracelets_bangle,B09GM46RCD
tcsv1_dev_0010,dev,browsing,medium,official_style,sandals_flats,B087FZHXV8
tcsv1_dev_0011,dev,browsing,medium,official_style,baby_boys_bodysuits,B07HR1V7YX
tcsv1_dev_0012,dev,buying,easy,official_style,girls_fashion_hoodies_sweatshirts,B0BGL76TR6
tcsv1_dev_0013,dev,buying,easy,official_style,soccer_futsal_men,B07SSZRHKD
tcsv1_dev_0014,dev,buying,easy,official_style,shorts_denim,B07FH4ZRXF
tcsv1_dev_0015,dev,buying,easy,official_style,women_pants,B09PY7YB88
tcsv1_dev_0016,dev,browsing,medium,official_style,shoes_jewelry_novelty_more,B00JNL6XCQ
tcsv1_dev_0017,dev,browsing,medium,official_style,charms_charm_bracelets_charm_bracelets,B00M2LRCKQ
tcsv1_dev_0018,dev,buying,easy,official_style,scarves_fashion_scarves,B083ND2F5P
tcsv1_dev_0019,dev,buying,easy,official_style,active_vests,B0C2C83VLL
tcsv1_dev_0020,dev,intent_override,hard,official_style,hats_caps_balaclavas,B086SX1LSY
tcsv1_dev_0021,dev,browsing,medium,official_style,fashion_chukka,B088WDSWWT
tcsv1_dev_0022,dev,buying,easy,official_style,military_accessories,B00NC5P3NO
tcsv1_dev_0023,dev,buying,easy,official_style,men_briefs,B0001ZO44W
tcsv1_dev_0024,dev,buying,easy,official_style,women_pants,B0795TYCDL
tcsv1_dev_0025,dev,intent_override,hard,official_style,base_layers_compression_compression_shorts,B07BV91P4G
tcsv1_dev_0026,dev,browsing,medium,official_style,jewelry_pendants_coins,B008JNKKPK
tcsv1_dev_0027,dev,browsing,medium,official_style,swimsuits_cover_ups_board_shorts,B071WYT28P
tcsv1_dev_0028,dev,boundary,medium,official_style,charms_italian_style,B000FIN644
tcsv1_dev_0029,dev,buying,easy,official_style,motorcycle_atv_casual_footwear_shoes,B00R1W4MB8
tcsv1_dev_0030,dev,browsing,medium,official_style,bracelets_link,B00HVJ11ZQ
tcsv1_dev_0031,dev,buying,easy,official_style,sweaters_pullovers,B08GPCZ8QM
tcsv1_dev_0032,dev,intent_override,hard,official_style,men_shoes,B00KKQYXNO
